content,platorm,hashtags,tags,website_url,website_name,theme,fda_campaign,stem_id,lin_meth_factor,lin_meth_level
"#Smoking damages your DNA, which can lead to cancer almost anywhere in your body.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,1,1
"#Smoking damages our DNA, which can lead to cancer almost anywhere in our bodies.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,1,2
"#Smoking damages DNA, which can lead to cancer almost anywhere in the body. ","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE53,1,3
"Even if you don?t smoke, you could be breathing in the deadly mix by being around smokers. #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE54,1,1
"Even if we don?t smoke, we could be breathing in the deadly mix by being around smokers. #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE54,1,2
"Even if someone doesn't smoke, they could be breathing in the deadly mix by being around smokers. #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE54,1,3
There is no safe level of exposure to secondhand smoke. Even a short time can fade your health. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,1,1
There is no safe level of exposure to secondhand smoke. Even a short time can fade our health. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,1,2
There is no safe level of exposure to secondhand smoke. Even a short time can fade people's health. #tobacco,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE55,1,3
"Using #tobacco products can lead to addition and expose you to toxic, cancer-causing chemicals.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE56,1,1
"Using #tobacco products can lead to addition and expose us to toxic, cancer-causing chemicals.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE56,1,2
"Using #tobacco products can lead to addition and expose people to toxic, cancer-causing chemicals.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,FE,FE56,1,3
Some say they smoke to reduce stress. Nope. #Smoking can make your feelings of stress even worse.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],UNCLEAR,FE,FE60,1,1
Some say they smoke to reduce stress. Nope. #Smoking can make our feelings of stress even worse.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],UNCLEAR,FE,FE60,1,2
Some say they smoke to reduce stress. Nope. #Smoking can make feelings of stress even worse.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],UNCLEAR,FE,FE60,1,3
"Nicotine can change the way your brain works, causing you to crave more and more nicotine #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,TFL,TFL14,1,1
"Nicotine can change the way our brains work, causing us to crave more and more nicotine #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,TFL,TFL14,1,2
"Nicotine can change the way a person's brain works, causing them to crave more and more nicotine #tobacco","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],addiction,TFL,TFL14,1,3
#Smoking can damage your wallet. Smoking half a pack/day costs $1000 per year on average,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,1,1
#Smoking can damage our wallets. Smoking half a pack/day costs $1000 per year on average.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,1,2
#Smoking can damage everyone's wallets. Smoking half a pack/day costs $1000 per year on average.,"facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],money,TFL,TFL16,1,3
"#Smoking can weaken your immune system, leaving you more vulnerable to bronchitis & pneumonia.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL38,1,1
"#Smoking can weaken our immune systems, leaving us more vulnerable to bronchitis & pneumonia","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL38,1,2
"#Smoking can weaken the immune system, leaving a person more vulnerable to bronchitis & pneumonia","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL38,1,3
"#Smoking damages your DNA, which can cause cancer almost anywhere, not just your lungs","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL39,1,1
"#Smoking damages our DNA, which can cause cancer almost anywhere, not just our lungs.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL39,1,2
"#Smoking damages DNA, which can cause cancer almost anywhere, not just the lungs.","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL39,1,3
"#Smoking can destroy the tiny hairs that help keep your lungs clear, giving you smoker?s cough","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL40,1,1
"#Smoking can destroy the tiny hairs that help keep our lungs clear, giving us smoker?s cough","facebook, instagram, twitter",,,sc-ctsi.org,CTSI [temp],health,TFL,TFL40,1,2
